parent_code,code,name
BW,BW001,Stuttgart
BW,BW002,Karlsruhe
BW,BW003,Mannheim
BW,BW004,Freiburg im Breisgau
BW,BW005,Heidelberg
BY,BY001,Munich
BY,BY002,Nuremberg
BY,BY003,Augsburg
BY,BY004,Würzburg
BY,BY005,Regensburg
BE,BE001,Berlin
HB,HB001,Bremen
HH,HH001,Hamburg
HE,HE001,Frankfurt
HE,HE002,Wiesbaden
HE,HE003,Darmstadt
HE,HE004,Kassel
MV,MV001,Rostock
MV,MV002,Schwerin
NI,NI001,Hanover
NI,NI002,Braunschweig
NI,NI003,Osnabrück
NI,NI004,Wolfsburg
NW,NW001,Cologne
NW,NW002,Düsseldorf
NW,NW003,Dortmund
NW,NW004,Essen
NW,NW005,Duisburg
NW,NW006,Bochum
NW,NW007,Wuppertal
NW,NW008,Bonn
RP,RP001,Mainz
RP,RP002,Ludwigshafen
RP,RP003,Koblenz
RP,RP004,Trier
SL,SL001,Saarbrücken
SN,SN001,Dresden
SN,SN002,Leipzig
SN,SN003,Chemnitz
ST,ST001,Magdeburg
ST,ST002,Halle
SH,SH001,Kiel
SH,SH002,Lübeck
SH,SH003,Flensburg
TH,TH001,Erfurt
TH,TH002,Jena
TH,TH003,Gera
BB,BB001,Potsdam
BB,BB002,Cottbus
BB,BB003,Brandenburg an der Havel
