parent_code,code,name
ENG01,ENG0101,Luton
ENG01,ENG0102,Bedford
ENG01,ENG0103,Dunstable
ENG02,ENG0201,Reading
ENG02,ENG0202,Bracknell
ENG02,ENG0203,Maidenhead
ENG02,ENG0204,Windsor
ENG03,ENG0301,Bristol
ENG04,ENG0401,Milton Keynes
ENG04,ENG0402,High Wycombe
ENG04,ENG0403,Aylesbury
ENG05,ENG0501,Cambridge
ENG05,ENG0502,Wisbech
ENG05,ENG0503,Ely
ENG06,ENG0601,Chester
ENG06,ENG0602,Warrington
ENG06,ENG0603,Crewe
ENG06,ENG0604,Stockport
ENG07,ENG0701,Truro
ENG07,ENG0702,Penzance
ENG07,ENG0703,Newquay
ENG08,ENG0801,Carlisle
ENG08,ENG0802,Barrow-in-Furness
ENG08,ENG0803,Kendal
ENG09,ENG0901,Derby
ENG09,ENG0902,Chesterfield
ENG09,ENG0903,Ilkeston
ENG10,ENG1001,Plymouth
ENG10,ENG1002,Exeter
ENG10,ENG1003,Torquay
ENG11,ENG1101,Bournemouth
ENG11,ENG1102,Poole
ENG11,ENG1103,Weymouth
ENG12,ENG1201,Durham
ENG12,ENG1202,Darlington
ENG12,ENG1203,Hartlepool
ENG13,ENG1301,Kingston upon Hull
ENG13,ENG1302,Beverley
ENG14,ENG1401,Brighton
ENG14,ENG1402,Eastbourne
ENG14,ENG1403,Hastings
ENG15,ENG1501,Chelmsford
ENG15,ENG1502,Colchester
ENG15,ENG1503,Southend-on-Sea
ENG16,ENG1601,Gloucester
ENG16,ENG1602,Cheltenham
ENG17,ENG1701,London
ENG18,ENG1801,Manchester
ENG18,ENG1802,Salford
ENG18,ENG1803,Stockport
ENG19,ENG1901,Southampton
ENG19,ENG1902,Portsmouth
ENG19,ENG1903,Basingstoke
ENG20,ENG2001,Hereford
ENG21,ENG2101,Watford
ENG21,ENG2102,St Albans
ENG21,ENG2103,Hemel Hempstead
ENG22,ENG2201,Newport
ENG23,ENG2301,Maidstone
ENG23,ENG2302,Canterbury
ENG23,ENG2303,Dover
ENG24,ENG2401,Preston
ENG24,ENG2402,Lancaster
ENG24,ENG2403,Blackpool
ENG25,ENG2501,Leicester
ENG26,ENG2601,Lincoln
ENG27,ENG2701,Liverpool
ENG27,ENG2702,Birkenhead
ENG28,ENG2801,Norwich
ENG28,ENG2802,Great Yarmouth
ENG29,ENG2901,York
ENG29,ENG2902,Scarborough
ENG30,ENG3001,Northampton
ENG31,ENG3101,Newcastle upon Tyne
ENG32,ENG3201,Nottingham
ENG32,ENG3202,Mansfield
ENG33,ENG3301,Oxford
ENG34,ENG3401,Shrewsbury
ENG35,ENG3501,Taunton
ENG36,ENG3601,Sheffield
ENG36,ENG3602,Barnsley
ENG37,ENG3701,Stoke-on-Trent
ENG38,ENG3801,Ipswich
ENG38,ENG3802,Bury St Edmunds
ENG39,ENG3901,Guildford
ENG39,ENG3902,Woking
ENG40,ENG4001,Sunderland
ENG41,ENG4101,Warwick
ENG41,ENG4102,Stratford-upon-Avon
ENG42,ENG4201,Birmingham
ENG42,ENG4202,Coventry
ENG42,ENG4203,Wolverhampton
ENG43,ENG4301,Chichester
ENG44,ENG4401,Leeds
ENG44,ENG4402,Bradford
ENG45,ENG4501,Swindon
ENG45,ENG4502,Salisbury
ENG46,ENG4601,Worcester
SCT01,SCT0101,Aberdeen
SCT15,SCT1501,Edinburgh
SCT18,SCT1801,Glasgow
SCT10,SCT1001,Dundee
SCT17,SCT1701,Kirkcaldy
SCT33,SCT3301,Stirling
SCT19,SCT1901,Inverness
SCT28,SCT2801,Paisley
SCT34,SCT3401,Dumbarton
WAL04,WAL0401,Cardiff
WAL19,WAL1901,Swansea
WAL15,WAL1501,Newport
WAL04,WAL0402,Barry
WAL17,WAL1701,Llandrindod Wells
WAL11,WAL1101,Llangefni
NIR07,NIR0701,Belfast
NIR19,NIR1901,Lisburn
NIR13,NIR1301,Derry
