code,name
ID11,Aceh
ID12,North Sumatra
ID13,West Sumatra
ID14,Riau
ID15,Jambi
ID16,South Sumatra
ID17,Bengkulu
ID18,Lampung
ID19,Bangka Belitung Islands
ID21,Riau Islands
ID31,Jakarta
ID32,West Java
ID33,Central Java
ID34,Yogyakarta
ID35,East Java
ID36,Banten
ID51,Bali
ID52,West Nusa Tenggara
ID53,East Nusa Tenggara
ID61,West Kalimantan
ID62,Central Kalimantan
ID63,South Kalimantan
ID64,East Kalimantan
ID65,North Kalimantan
ID71,North Sulawesi
ID72,Central Sulawesi
ID73,South Sulawesi
ID74,Southeast Sulawesi
ID75,Gorontalo
ID76,West Sulawesi
ID81,Maluku
ID82,North Maluku
ID91,West Papua
ID94,Papua
