parent_code,code,name
WB,WB-001,Alipurduar
WB,WB-002,Bankura
WB,WB-003,Birbhum
WB,WB-004,Cooch Behar
WB,WB-005,Dakshin Dinajpur
WB,WB-006,Darjeeling
WB,WB-007,Hooghly
WB,WB-008,Howrah
WB,WB-009,Jalpaiguri
WB,WB-010,Jhargram
WB,WB-011,Kalimpong
WB,WB-012,Kolkata
WB,WB-013,Maldah
WB,WB-014,Murshidabad
WB,WB-015,Nadia
WB,WB-016,North 24 Parganas
WB,WB-017,Paschim Bardhaman
WB,WB-018,Purba Bardhaman
WB,WB-019,Paschim Medinipur
WB,WB-020,Purba Medinipur
WB,WB-021,Purulia
WB,WB-022,South 24 Parganas
WB,WB-023,Uttar Dinajpur
AP,AP-001,Anantapur
AP,AP-002,Chittoor
AP,AP-003,East Godavari
AP,AP-004,Guntur
AP,AP-005,Krishna
AP,AP-006,Kurnool
AP,AP-007,Prakasam
AP,AP-008,Srikakulam
AP,AP-009,Sri Potti Sriramulu Nellore
AP,AP-010,Visakhapatnam
AP,AP-011,Vizianagaram
AP,AP-012,West Godavari
AP,AP-013,"YSR District, Kadapa"
AR,AR-001,Anjaw
AR,AR-002,Changlang
AR,AR-003,Dibang Valley
AR,AR-004,East Kameng
AR,AR-005,East Siang
AR,AR-006,Kamle
AR,AR-007,Kra Daadi
AR,AR-008,Kurung Kumey
AR,AR-009,Lepa Rada
AR,AR-010,Lohit
AR,AR-011,Lower Dibang Valley
AR,AR-012,Lower Siang
AR,AR-013,Lower Subansiri
AR,AR-014,Namsai
AR,AR-015,Pakke Kessang
AR,AR-016,Papum Pare
AR,AR-017,Shi Yomi
AR,AR-018,Siang
AR,AR-019,Tawang
AR,AR-020,Tirap
AR,AR-021,Upper Siang
AR,AR-022,Upper Subansiri
AR,AR-023,West Kameng
AR,AR-024,West Siang
AS,AS-001,Baksa
AS,AS-002,Barpeta
AS,AS-003,Biswanath
AS,AS-004,Bongaigaon
AS,AS-005,Cachar
AS,AS-006,Charaideo
AS,AS-007,Chirang
AS,AS-008,Darrang
AS,AS-009,Dhemaji
AS,AS-010,Dhubri
AS,AS-011,Dibrugarh
AS,AS-012,"Dima Hasao (North Cachar Hills)"
AS,AS-013,Goalpara
AS,AS-014,Golaghat
AS,AS-015,Hailakandi
AS,AS-016,Hojai
AS,AS-017,Jorhat
AS,AS-018,Kamrup
AS,AS-019,Kamrup Metropolitan
AS,AS-020,Karbi Anglong
AS,AS-021,Karimganj
AS,AS-022,Kokrajhar
AS,AS-023,Lakhimpur
AS,AS-024,Majuli
AS,AS-025,Morigaon
AS,AS-026,Nagaon
AS,AS-027,Nalbari
AS,AS-028,Sivasagar
AS,AS-029,Sonitpur
AS,AS-030,South Salamara-Mankachar
AS,AS-031,Tinsukia
AS,AS-032,Udalguri
AS,AS-033,West Karbi Anglong
BR,BR-001,Araria
BR,BR-002,Arwal
BR,BR-003,Aurangabad
BR,BR-004,Banka
BR,BR-005,Begusarai
BR,BR-006,Bhagalpur
BR,BR-007,Bhojpur
BR,BR-008,Buxar
BR,BR-009,Darbhanga
BR,BR-010,"East Champaran (Motihari)"
BR,BR-011,Gaya
BR,BR-012,Gopalganj
BR,BR-013,Jamui
BR,BR-014,Jehanabad
BR,BR-015,"Kaimur (Bhabua)"
BR,BR-016,Katihar
BR,BR-017,Khagaria
BR,BR-018,Kishanganj
BR,BR-019,Lakhisarai
