parent_code,code,name
00101,00101001,Agtangao
00101,00101002,Angad
00101,00101003,Bañacao
00101,00101004,Bangbangar
00101,00101005,Cabuloan
00101,00101006,Calaba
00101,00101007,Tablac
00101,00101008,Cosili West
00101,00101009,Cosili East
00101,00101010,Dangdangla
00101,00101011,Lingtan
00101,00101012,Lipcan
00101,00101013,Lubong
00101,00101014,Macarcarmay
00101,00101015,Maoay
00101,00101016,Macray
00101,00101017,Malita
00101,00101018,Palao
00101,00101019,Patucannay
00101,00101020,Sagap
00101,00101021,San Antonio
00101,00101022,Santa Rosa
00101,00101023,Sao-atan
00101,00101024,Sappaac
00101,00101025,Zone 2 Pob.
00101,00101026,Zone 3 Pob.
00101,00101027,Zone 4 Pob.
00101,00101028,Zone 5 Pob.
00101,00101029,Zone 6 Pob.
00101,00101030,Zone 7 Pob.
00101,00101031,Zone 1 Pob.
00102,00102001,Amti
00102,00102002,Bao-yan
00102,00102003,Danac East
00102,00102004,Dao-angan
00102,00102005,Dumagas
00102,00102006,Kilong-Olao
00102,00102007,Poblacion
00102,00102008,Danac West
00103,00103001,Abang
00103,00103002,Bangbangcag
00103,00103003,Bangcagan
00103,00103004,Banglolao
00103,00103005,Bugbog
00103,00103006,Calao
00103,00103007,Dugong
00103,00103008,Labon
00103,00103009,Layugan
00103,00103010,Madalipay
00103,00103011,Pagala
00103,00103012,Palaquio
00103,00103013,Pakiling
00103,00103014,Patoc
00103,00103016,North Poblacion
00103,00103017,South Poblacion
00103,00103018,Quimloong
00103,00103019,Salnec
00103,00103020,San Miguel
00103,00103021,Siblong
00103,00103022,Tabiog
00104,00104001,Ducligan
00104,00104002,Labaan
00104,00104003,Lingey
00104,00104004,Lamao
00105,00105001,Ableg
00105,00105002,Cabaruyan
00105,00105003,Pikek
00105,00105004,Tui
00106,00106001,Abaquid
00106,00106003,Cabaruan
00106,00106004,Caupasan
00106,00106005,Danglas
00106,00106006,Nagaparan
00106,00106007,Padangitan
00106,00106008,Pangal
00107,00107001,Bayaan
00107,00107002,Cabaroan
00107,00107003,Calumbaya
00107,00107004,Cardona
00107,00107005,Isit
00107,00107006,Kimmalaba
00107,00107007,Libtec
00107,00107008,Lub-lubba
00107,00107009,Mudiit
00107,00107010,Namit-ingan
00107,00107011,Pacac
00107,00107012,Poblacion
00107,00107013,Salucag
00107,00107014,Talogtog
00107,00107015,Taping
00108,00108002,Benben
00108,00108003,Bulbulala
00108,00108004,Buli
00108,00108005,Canan
00108,00108006,Liguis
00108,00108007,Malabbaga
00108,00108008,Mudeng
00108,00108009,Pidipid
00108,00108010,Poblacion
00108,00108011,San Gregorio
00108,00108012,Toon
00108,00108013,Udangan
00109,00109001,Bacag
00109,00109002,Buneg
00109,00109003,Guinguinabang
00109,00109004,Lan-ag
00109,00109005,Pacoc
00109,00109006,Poblacion
00110,00110001,Aguet
00110,00110002,Bacooc
00110,00110003,Balais
00110,00110004,Cayapa
00110,00110005,Dalaguisen
00110,00110006,Laang
00110,00110007,Lagben
00110,00110008,Laguiben
00110,00110009,Nagtipulan
00110,00110010,Nagtupacan
00110,00110011,Paganao
00110,00110012,Pawa
00110,00110013,Poblacion
00110,00110014,Presentar
00110,00110015,San Isidro
00110,00110016,Tagodtod
00110,00110017,Taping
00111,00111002,Ba-i
00111,00111004,Collago
00111,00111005,Pang-ot
00111,00111006,Poblacion
00111,00111007,Pulot
00112,00112001,Baac
00112,00112004,Dalayap
00112,00112005,Mabungtot
00112,00112006,Malapaao
00112,00112007,Poblacion
00112,00112008,Quillat
00113,00113001,Bonglo
00113,00113002,Bulbulala
00113,00113003,Cawayan
00113,00113004,Domenglay
00113,00113005,Lenneng
00113,00113006,Mapisla
00113,00113007,Mogao
00113,00113008,Nalbuan
00113,00113009,Poblacion
00113,00113010,Subagan
00113,00113011,Tumalip
00114,00114001,Ampalioc
00114,00114002,Barit
00114,00114003,Gayaman
00114,00114005,Lul-luno
00114,00114006,Luzong
00114,00114007,Nagbukel-Tuquipa
00114,00114008,Poblacion
00114,00114009,Sabnangan
00115,00115001,Bayabas
00115,00115002,Binasaran
00115,00115003,Buanao
00115,00115004,Dulao
00115,00115005,Duldulao
00115,00115006,Gacab
00115,00115007,Lat-ey
00115,00115008,Malibcong
00115,00115009,Mataragan
00115,00115010,Pacgued
00115,00115011,Taripan
00115,00115012,Umnap
00116,00116002,Catacdegan Viejo
00116,00116003,Luzong
00116,00116004,Ayyeng
00116,00116005,San Jose Norte
00116,00116006,San Jose Sur
00116,00116007,San Juan Norte
00116,00116008,San Juan Sur
00116,00116011,San Ramon East
00116,00116012,San Ramon West
00116,00116013,Santo Tomas
00116,00116014,Catacdegan Nuevo
00117,00117001,Dumayco
00117,00117002,Lusuac
00117,00117003,Namarabar
00117,00117004,Patiao
00117,00117005,Malamsit
00117,00117006,Poblacion
00117,00117007,Riang
00117,00117008,Santa Rosa
00117,00117009,Tattawa
00118,00118001,Alinaya
00118,00118002,Arab
00118,00118004,Garreta
00118,00118005,Immuli
00118,00118007,Laskig
00118,00118008,Naguirayan
00118,00118009,Monggoc
00118,00118010,Pamutic
00118,00118011,Pangtud
00118,00118012,Poblacion East
00118,00118013,Poblacion West
00118,00118014,San Diego
00118,00118016,Sulbec
00118,00118018,Suyo
00118,00118019,Yuyeng
00119,00119002,Bolbolo
00119,00119003,Brookside
00119,00119004,Ocup
00119,00119005,Dalit
00119,00119006,Dintan
00119,00119007,Gapang
00119,00119008,Kinabiti
00119,00119009,Maliplipit
00119,00119010,Nagcanasan
00119,00119011,Nanangduan
00119,00119012,Narnara
00119,00119014,Pang-ot
00119,00119015,Patad
00119,00119016,Poblacion
00119,00119017,San Juan East
00119,00119018,San Juan West
00119,00119019,South Balioag
00119,00119020,Tikitik
00119,00119021,Villavieja
00120,00120001,Bazar
00120,00120002,Bilabila
00120,00120003,Gangal
00120,00120004,Maguyepyep
00120,00120005,Naguilian
00120,00120006,Saccaang
00120,00120007,Sallapadan
00120,00120008,Subusob
00120,00120009,Ud-udiao
00121,00121001,Cabayogan
00121,00121002,Dalimag
00121,00121003,Langbaban
00121,00121004,Manayday
00121,00121007,Pantoc
00121,00121008,Poblacion
00121,00121010,Sabtan-olo
00121,00121012,San Marcial
00121,00121013,Tangbao
00122,00122001,Abualan
00122,00122002,Ba-ug
00122,00122003,Badas
00122,00122004,Cabcaborao
00122,00122005,Colabaoan
00122,00122006,Culiong
00122,00122007,Daoidao
00122,00122008,Guimba
00122,00122009,Lam-ag
00122,00122010,Lumobang
00122,00122011,Nangobongan
00122,00122012,Pattaoig
00122,00122013,Poblacion North
00122,00122014,Poblacion South
00122,00122015,Quidaoen
00122,00122016,Sabangan
00122,00122017,Silet
00122,00122018,Supi-il
00122,00122019,Tagaytay
00123,00123001,Labaan
00123,00123002,Palang
00123,00123003,Pantoc
00123,00123004,Poblacion
00123,00123005,Tangadan
00123,00123006,Villa Mercedes
00124,00124001,Bagalay
00124,00124002,Basbasa
00124,00124003,Budac
00124,00124004,Bumagcat
00124,00124005,Cabaroan
00124,00124006,Deet
00124,00124007,Gaddani
00124,00124008,Patucannay
00124,00124009,Pias
00124,00124010,Poblacion
00124,00124011,Velasco
00125,00125001,Poblacion
00125,00125002,Alaoa
00125,00125003,Anayan
00125,00125004,Apao
00125,00125005,Belaat
00125,00125006,Caganayan
00125,00125007,Cogon
00125,00125008,Lanec
00125,00125009,Lapat-Balantay
00125,00125010,Naglibacan
00126,00126001,Alangtin
00126,00126002,Amtuagan
00126,00126003,Dilong
00126,00126004,Kili
00126,00126005,Poblacion
00126,00126006,Supo
00126,00126007,Tiempo
00126,00126008,Tubtuba
00126,00126009,Wayangan
00126,00126010,Tabacda
00127,00127001,Ap-apaya
00127,00127002,Bol-lilising
00127,00127003,Cal-lao
00127,00127004,Lap-lapog
00127,00127005,Lumaba
00127,00127006,Poblacion
00127,00127007,Tamac
00127,00127008,Tuquib
00201,00201001,Abilan
00201,00201002,Agong-ong
00201,00201003,Alubijid
00201,00201004,Guinabsan
00201,00201007,Macalang
00201,00201008,Malapong
00201,00201009,Malpoc
00201,00201010,Manapa
00201,00201011,Matabao
00201,00201013,Poblacion 1
00201,00201014,Poblacion 2
00201,00201015,Poblacion 3
00201,00201016,Poblacion 4
00201,00201017,Poblacion 5
00201,00201018,Poblacion 6
00201,00201019,Poblacion 7
00201,00201020,Poblacion 8
00201,00201021,Poblacion 9
00201,00201022,Poblacion 10
00201,00201023,Rizal
00201,00201024,Sacol
00201,00201025,Sangay
00201,00201026,Talo-ao
00201,00201027,Lower Olave
00201,00201028,Simbalan
00203,00203002,Antonio Luna
00203,00203005,Bay-ang
00203,00203006,Bayabas
00203,00203007,Caasinan
00203,00203009,Cabinet
00203,00203010,Calamba
00203,00203011,Calibunan
00203,00203012,Comagascas
00203,00203013,Concepcion
00203,00203014,Del Pilar
00203,00203016,Katugasan
00203,00203017,Kauswagan
00203,00203018,La Union
00203,00203019,Mabini
00203,00203021,Poblacion 1
00203,00203022,Poblacion 10
00203,00203023,Poblacion 11
00203,00203024,Poblacion 12
